UTC,timestamp,Text,Favorites,Retweets,neg,neu,pos,compound
2021-02-20 08:42:28+00:00,1613810520,@dogecoin I just set up some little Doge mining rigs with my kids. It was fun.,55888,6793,0.0,0.82,0.18,0.5106
2021-02-06 08:42:25+00:00,1612600920,@Grimezsz Dogecake,9598,1317,0.0,1.0,0.0,0.0
2021-03-15 23:11:50+00:00,1615849860,@beeple 420M Doge,80386,5142,0.0,1.0,0.0,0.0
2021-03-01 19:57:08+00:00,1614628620,Doge meme shield (legendary item) https://t.co/CeomU9q84c,284931,26875,0.0,1.0,0.0,0.0
2021-02-08 05:27:36+00:00,1612762020,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.  Transaction speed of Doge should ideally be a few orders of magnitude faster.",15504,3567,0.132,0.787,0.081,-0.3291
2021-02-10 15:08:11+00:00,1612969680,"Bought some Dogecoin for lil X, so he can be a toddler hodler",548940,59215,0.0,1.0,0.0,0.0
2021-04-28 06:20:47+00:00,1619590800,The Dogefather SNL May 8,465278,80539,0.0,1.0,0.0,0.0
2020-11-17 18:45:21+00:00,1605638700,@ReflexFunds @nickidk4 @pcgamer Dojo/Doge,1027,74,0.0,1.0,0.0,0.0
2021-05-11 08:13:35+00:00,1620720780,Do you want Tesla to accept Doge?,386790,98651,0.0,0.562,0.438,0.4404
2021-03-02 21:07:09+00:00,1614719220,@WootiezTV Very much so &amp; its leader shall be The Doge  https://t.co/VXmuW5c0y9,16155,1668,0.0,1.0,0.0,0.0
2021-03-02 08:36:34+00:00,1614674160,@draecomino 2022: Dogecoin is dumb,14387,2001,0.452,0.548,0.0,-0.5106
2021-05-13 22:45:16+00:00,1620945900,Working with Doge devs to improve system transaction efficiency. Potentially promising.,512735,84083,0.0,0.497,0.503,0.7964
2021-03-18 21:17:16+00:00,1616102220,@lexfridman Sometimes itâ€™s about Doge,49584,3603,0.0,1.0,0.0,0.0
2021-02-11 23:27:37+00:00,1613086020,@gtera27 Doge is underestimated,28838,8579,0.412,0.588,0.0,-0.2732
2021-04-01 10:25:23+00:00,1617272700,SpaceX is going to put a literal Dogecoin on the literal moon,547562,53429,0.0,1.0,0.0,0.0
2021-05-09 22:41:43+00:00,1620600060,SpaceX launching satellite Doge-1 to the moon next year  â€“ Mission paid for in Doge â€“ 1st crypto in space â€“ 1st meme in space  To the mooooonnn!!  https://t.co/xXfjGZVeUW,537909,118943,0.0,1.0,0.0,0.0
2021-02-21 21:27:06+00:00,1613942820,Dojo 4 Doge,327182,32894,0.0,1.0,0.0,0.0
2021-02-07 22:25:14+00:00,1612736700,ðŸŽ¶ Who let the Doge out ðŸŽ¶,787296,114617,0.0,1.0,0.0,0.0
2020-12-20 09:30:04+00:00,1608456600,One word: Doge,222692,26258,0.0,1.0,0.0,0.0
